texto,fecha,emocion
"Seguir los consejos de Mamá es el mejor camino para llegar al éxito, vamos para adelante Dr, Carlos Lomeli",16/10/2023 00:00,approval
"Excelente, Doctor un nuevo día una nueva oportunidad.",16/10/2023 00:00,admiration
Vamos súper bien por el doc Carlos Lomelí y el Regidor Alejandro Buenrostro juntos caminando por el proyecto de Jalisco,16/10/2023 00:00,neutral
"Nuestro total apoyo con usted, Dr. Lomeli. Saludos, somos del equipo del Regidor Alejandro Buenrostro.
Mucho éxito en este proyecto. Dr.",16/10/2023 00:00,optimism
Para el estado Jal. Carlos Lomelí el mejor,16/10/2023 00:00,admiration
DR LOMELÍ UN HOMBRE DE PALABRA.,16/10/2023 00:00,neutral
Yes yes yes sí si si con mi amigo el doctor Carlos Lomelí,16/10/2023 00:00,neutral
Ahuatlan presente y apoyando al doctor Lomeli proximo gobernador,16/10/2023 00:00,neutral
Todo el apoyo con el Dr. Carlos Lomelí,16/10/2023 00:00,caring
"Excelente confianza, esperanza,",16/10/2023 00:00,admiration
Estamos con usted doctor Lomelí 👍🏻,16/10/2023 00:00,approval
Todo mi apoyo doctor 🙌🏻,16/10/2023 00:00,caring
"Juntos y en equipo con el dr lomeli, saludos desde cajititlan",,joy
Esas son las opiniones de todos los que le conocemos Dr. Ánimo!💪🏼👏🏼,16/10/2023 00:00,approval
Comprometido con Jalisco.,16/10/2023 00:00,approval
En Jalisco sin duda el mejor es el doctor Carlos Lomeli bolaños,16/10/2023 00:00,admiration
En Jalisco él mejor coordinador será Carlos Lomeli y un saludo al equipo de Alejandro Buenrostro,16/10/2023 00:00,neutral
Excelente persona,,admiration
Con el Dr Carlos Lomelí Jalisco estará ampliamente representado!,16/10/2023 00:00,neutral
Va con con usted Dr. Carlos Lomelí por la transformación de las conciencias,16/10/2023 00:00,neutral
"Todo el apoyo Dr. Carlos Lomelí desde Tonalá, usted es el bueno para Jalisco, saludos",16/10/2023 00:00,admiration
Mi apoyo para el Dr Carlos Lomelí,16/10/2023 00:00,caring
Vamos a ganar con el doctor Carlos Lomeli,23/10/2023 00:00,excitement
Apoyo a dor. Carlos Lomelí y con el regidor Alejandro Buenrostro de Tonalá seguimos trabajando por la coordinación de Jalisco,16/10/2023 00:00,approval
"Todo nuestro apoyo con usted, Dr. Lomeli aquí en Tonalá se encuentra respaldado con el equipo del Regidor Alejandro Buenrostro. Firmes al proyecto que usted encabeza por la transformación en Jalisco.
#amorconamorsepa
ga",16/10/2023 00:00,caring
Maria Rosario Navarro Toscano,16/10/2023 00:00,neutral
Estoy muy de acuerdo es medico y de los mejores yo con el doctor lomeli mi próximo gobernador,23/10/2023 00:00,approval
Si te llega la encuesta el Doctor Carlos Lomelí es la respuesta y desde abajo y con la gente,,neutral
Si vamos con El Doctor Lomeli,16/10/2023 00:00,neutral
Y usted se ha ganado ese respeto a base de esfuerzo y resultados dr.,16/10/2023 00:00,approval
Viva la4t,,neutral
Claro que si,,neutral
"Confianza
Capacidad
Esperanza
Liderazgo
Resultados
Dr. Carlos Lomelí Bolaños",16/10/2023 00:00,neutral
Vamos a,23/10/2023 00:00,neutral
"Por eso y mucho más el doctor Carlos Lomeli, honesto y valiente es la transformación",23/10/2023 00:00,neutral
Excelente trabajo y si darle seguimiento 💯,16/10/2023 00:00,admiration
👏👏👏,16/10/2023 00:00,neutral
"Todo el apoyo Dr. Carlos Lomelí desde Tonalá, usted es el bueno para Jalisco, saludos",16/10/2023 00:00,admiration
En el Cobaej tenemos a 100 maestros suspendidos de sus actividades por ese gobierno naranja y un porcentaje considerable son mujeres,16/10/2023 00:00,approval
"El mejor representante que podemos tener en el municipio de Cihuatlan, acordé a la 4T de MORENA #NoMentirNoRobar
NoTraicionar
Felicidades Feliciano Aguirre Garcia por tu desempeño, sabes que tienes todo nuestro apoyo",16/10/2023 00:00,admiration
apoyo total a su trabajo y propuesta para mejorar al estado de Jalisco,16/10/2023 00:00,approval
vamos con todo con morena wuuuu,16/10/2023 00:00,neutral
Mi voto doctor Lomelí es para usted y para la 4a transformación 🫂🫂,16/10/2023 00:00,approval
"Todas las mujeres son valiosas, pero es Clara Fundadora del Movimiento de Regeneración Nacional quien debe ser la Coordinadora de la Defensa de la 4T",16/10/2023 00:00,approval
Todo el apoyo,16/10/2023 00:00,caring
Queremos un buen apoyo y ese apoyo será uste dr Lomelí con todo yo soy una persona que cre en uste desde ase tiempo asta tube la suerte de tomarme una foto con uste todos con usted,16/10/2023 00:00,optimism
Bendiciones,16/10/2023 00:00,neutral
Adelante Dr Dios esta con Jalisco,,neutral
Animó doc puro para delante Tocayo.,16/10/2023 00:00,neutral
"Todo el apoyo Dr. Carlos Lomelí desde Tonalá, usted es el bueno para Jalisco, saludos",16/10/2023 00:00,admiration
"Estoy con su equipo,siempre,
distinguido y apreciado,Dr Lomeli",16/10/2023 00:00,admiration
"Adelante Dr. Carlos Lomelí Bolaños por el cambio en Jalisco, cuente con el apoyo de todo el equipo del regidor Alejandro Buenrostro",16/10/2023 00:00,neutral
Es todo dr Lomelí. Todo por Jalisco y México.,16/10/2023 00:00,neutral
el doc es mi 🐓🐓🐓🐓🐓 ay la yebamos paso aaa pasito pero seguro saludos desde poncitlan,23/10/2023 00:00,joy
Todo él apoyo al doctor Lomeli gobernador juntos por Jalisco,16/10/2023 00:00,approval
"Así es, entre todos y usted Dr Carlos lograremos posicionar la 4T en Jalisco!!!",16/10/2023 00:00,approval
"Que quede claro! Con el dr Carlos Lomelí llegará el cambio, si hay alguien con la capacidad, la experiencia, y el cariño hacia el pueblo ese el .. el doc si puede y con el está la esperanza de Jalisco, Jalisco tendrá gobernador .. Dr. Carlos Lomelí Bolaños",16/10/2023 00:00,optimism
Mi equipo es Jehová y el espiritu santo y jesus,16/10/2023 00:00,neutral
La cuarta transformación llegará muy pronto a Jalisco.!!!,16/10/2023 00:00,excitement
"Nuestro objetivo, el bienestar y armonía de los jaliscienses, vamos con todo doc",23/10/2023 00:00,desire
Oh siiiii 👊,,sadness
Dr Carlos Lomelí próximo gobernador,16/10/2023 00:00,neutral
"Doctor Carlos Lomelí yo voy a votar por usted porque aquí en mi colonia en la de San Gaspar colonia los tulipanes hay una calle que no tiene drenaje y ya van varios años que no los han prometido cuando vienen a las votaciones y lamentablemente
no no han hecho nada ya vamos más de 14 años sin drenaje ojalá nos cumpla esa petición porque la mera verdad ya estamos cansados de estos corruptos del movimiento ciudadano igual del pri y el pan pero yo sé que morena luchará contra ellos y ganaremos este 2024 es un honor estar con Claudia sheinbaum y también con Andrés Manuel López Obrador el mejor presidente de la historia 👏🥹🇲🇽❤️🫡",,approval
"Vamos con todo Dr. Carlos Lomelí Gobernador, Jalisco lo espera para continuar con la 4T
#Carlos Lomelí es la respuesta 👋🥰",,approval
"Oh siii,👊",16/10/2023 00:00,approval
Vamos Todos Que Ganaremos,16/10/2023 00:00,excitement
Felicidades Dr Carlos Lomelí gracias a su esfuerzo y sus logros ya llegó a sus metas dé ser lo que usted quiere con Jalisco estamos con usted gracias,16/10/2023 00:00,admiration
En Jalisco llegará la 4T con usted Dr. Carlos Lomelí Bolaños,16/10/2023 00:00,neutral
Yo por lomeli y la 4T,16/10/2023 00:00,neutral
La mejor opción para Jalisco todo el apoyo para el Dr.Carlos Lomelí,16/10/2023 00:00,approval
Vamos por el éxito. Dr. Carlos,16/10/2023 00:00,neutral
Cada día somos más con el doctor Lomeli gobernador,16/10/2023 00:00,neutral
Por Tepatitlán y Jalisco la 4T por Morena Si. Dr Lomeli Nuestro Próximo Gobernador,16/10/2023 00:00,neutral
"Dr. Carlos Lomelí
SI PUEDE!!!!!!
Y en Jalisco te necesitamos !!!",16/10/2023 00:00,neutral
Doctor Lomeli Usted Ganará Apesar De Las Sancadillas Ganará Si Señor Vamos Todos,16/10/2023 00:00,optimism
"De Norte a sur, todo jalisco se sumará a la 4T.",16/10/2023 00:00,neutral
"Todo el apoyo Dr. Carlos Lomelí desde Tonalá, usted es el bueno para Jalisco, saludos",16/10/2023 00:00,admiration
Que la grandeza de su esfuerzo cada día sea mejor asta el final de sus metas,23/10/2023 00:00,approval
Todo el apoyo de tonala para usted doctor lomelí y el regidor Alejandro Buenrostro,16/10/2023 00:00,caring
"Todo nuestro apoyo con usted, Dr. Lomeli aquí en Tonalá se encuentra respaldado con el equipo del Regidor Alejandro Buenrostro. Firmes al proyecto que usted encabeza por la transformación en Jalisco.
#amorconamorsepa
ga",16/10/2023 00:00,caring
La única opción para coordinar la 4T en Jalisco es el Dr Carlos Lomeli,16/10/2023 00:00,neutral
Saludos x el bien de jalisco y cihuatlan ocupamos un verdadero canbio x el bien de todos todos con morena,16/10/2023 00:00,approval
Estamos en un buen momento para que todo Jalisco sea morena y más con el trabajo que usted lleva doctor nuestro próximo gobernador,16/10/2023 00:00,approval
Con el Doctor Carlos lomelí en Jalisco abra un cambio,16/10/2023 00:00,neutral
"Desde Tonalá lo apoyamos Dr. Carlos Lomelí Bolaños todo el equipo del regidor Alejandro Buenrostro #AmorConAmorSePa
ga",16/10/2023 00:00,neutral
Todo Jalisco con el Dr. Carlos Lomelí Bolaños,16/10/2023 00:00,neutral
Y bella,16/10/2023 00:00,admiration
Todo Jalisco y Tlaquepaque se pintan de Morena.,16/10/2023 00:00,neutral
Vamos a ganar Jalisco 🇱🇻,16/10/2023 00:00,excitement
"Solo caminando durante varios años por Jalisco es posible conocer a profundidad sus barrios, su gente y sus necesidades. Estoy seguro que con el doc Carlos vamos a transformar de fondo la vida de las y los jaliscienses, trayendo bienestar y justicia!",16/10/2023 00:00,approval
"Estamos con usted, Dr. Lomeli.
Apoyándolo desde nuestra trinchera.
Somos del equipo del Regidor. Alejandro Buenrostro
Equipo Tonalá.
Tonalá tmbn es morena.",16/10/2023 00:00,caring
Cuente con el apoyo Dr Carlos Lomelí desde Tonalá y también el Regidor Alejandro Buenrostro,16/10/2023 00:00,neutral
Saludos estamos con ustedes 👍,16/10/2023 00:00,caring
Estamos con Dr. Carlos Lomelí apoyándolo desde Tonalá,16/10/2023 00:00,neutral
El único cambio en Jalisco es con usted Dr. Carlos Lomelí y en Tonalá con el Regidor Alejandro Buenrostro de Morena,16/10/2023 00:00,neutral
La cercanía con la gente es conocer muy de cercas cada una de sus necesidades vamos con todo Dr. Carlos Lomelí Bolaños todo el apoyo para usted y para el regidor Alejandro Buenrostro muy bien representada la 4T,16/10/2023 00:00,approval
"REGIDOR Alejandro Buenrostro .✅💪👌👍💪✅
Dr. Carlos Lomelí Bolaños .✅💪👌👍💪✅
Honorable Izquierda ✅💪👌👍
Excelentes personas para fortalecer la 4T.
Con todo mi apoyo para ustedes 💪💪💪💪",16/10/2023 00:00,admiration
FUERA MOVIMIENTO CIUDADANO QUE CREEN QUE TRABAJAR ES ROBAR AL PUEBLO DE JALISCO,16/10/2023 00:00,neutral
"Fan destacado
Teresa Arredondo",16/10/2023 00:00,neutral
Es Correcto por Jalisco Dr Lomeli Nuestro Próximo Gobernador,16/10/2023 00:00,neutral
PURO MORENA Y LA 4 T DR. LOMELÍ TODO JALISCO CON USTED.,16/10/2023 00:00,neutral
Muchas felicidades doctor saludos desde Puebla México.,16/10/2023 00:00,gratitude
Estamos con Dr. Carlos Lomelí apoyándolo desde Tonalá,16/10/2023 00:00,neutral
Todo jalisco con el Dr. Carlos Lomelí Bolaños !!,16/10/2023 00:00,neutral
no bajemos la guardia todo para adelante con el Dr.lomeli💪,16/10/2023 00:00,neutral
La Unión Hace La Fuerza Si se Puede Todos Vamos Con El Doctor Lomeli Por Pueblo Con El Pueblo,16/10/2023 00:00,approval
Cuente con el apoyo Dr Carlos Lomelí desde Tonalá y también el Regidor Alejandro Buenrostro,16/10/2023 00:00,neutral
Cada día somos más con el doctor Lomeli gobernador de Jalisco,16/10/2023 00:00,neutral
"No hay otro, en Jalisco se viene la 4T y será una realidad con el Dr Carlos Lomeli!!!!!!",16/10/2023 00:00,neutral
Vamos mi Doc. Todo para adelante,16/10/2023 00:00,optimism
Saludos doctor lomelí Tonalá con usted y.con el regidor Alejandro Buenrostro,16/10/2023 00:00,neutral
Apoyo total dr Lomeli....,16/10/2023 00:00,neutral
Saludos desde bosques de Tonalá Jalisco Carlos Lomeli y Alejandro Buenrostro por un mejor Jalisco estamos con ustedes,16/10/2023 00:00,neutral
"La transformación en Jalisco llegará con usted Dr. Carlos Lomelí Bolaños , excelente evento dr, un gusto haberlo acompañado",16/10/2023 00:00,admiration
"Total apoyo apreciado y distinguido Dr Lomeli,UD Eliminara esa recaudatoria verificación e implementará otro sistema para beneficiar la limpieza del aire,respaldand
olo nosotros con la afinación de nuestros motores,viva el Dr Lomeli,viva morena viva la cuarta transformacion",16/10/2023 00:00,admiration
El único cambio en Jalisco es con usted Dr. Carlos Lomelí y en Tonalá con el Regidor Alejandro Buenrostro de Morena,16/10/2023 00:00,neutral
Mi 🐓🐓🐓🐓🐓🐓 es el doc no ay otra ni otro animo vamos contódo saludos desde poncitlan aaaaa la orden,16/10/2023 00:00,excitement
👍👍👍,16/10/2023 00:00,curiosity
"Médico, y en El Arenal cuando?",16/10/2023 00:00,neutral
Vamos con todo Dr. Carlos Lomelí Bolaños esto ya nadie lo para la transformación tiene que llegar a Jalisco usted es el mero gallo cuente con todo el apoyo del equipo del Regidor Alejandro Buenrostro saludos desde Tonalá Jalisco,16/10/2023 00:00,neutral
"Muchas Felicidades Dr.
Todo Jalisco es 4T",16/10/2023 00:00,excitement
Mañana es último día de la exposición RETROVERSO de Sergio Zepeda en el MUSA. Lo invito afectuosamente a qué la pueda visitar. Será un placer saludarlo. Horario de 10 a 15 hs.,16/10/2023 00:00,joy
Sobretodo salir con nuestras familias y respirar un poco aire a lugares recreativo y podernos sentirnos SEGUROS DR. PONGALES PILAS TENEMOS QUE GANAR,16/10/2023 00:00,approval
Muchas felicidades Dr. Carlos Lomelí Bolaños saludos desde el distrito 19 cd guzman jalisco,16/10/2023 00:00,excitement
"Gran asamblea, Dr. Lomeli
Cómo siempre, presentes con usted y el Reg. Alejandro Buenrostro desde Tonalá.
Firmes y leales creyentes en el proyecto que usted encabeza.
Constantes hasta lograrlo.
Saludos.",16/10/2023 00:00,admiration
La mejor opción para Jalisco Dr. Carlos Lomelí Bolaños,16/10/2023 00:00,approval
Buenos dias Dr Carlos Lomeli...Y SEGUIMOS DANDO PASOS FIRMES Y FUERTES..Asi no tardara en llegar a la SILLA PRESIDENCIAL en donde usted PODRA llebar a todo JALISCO a un FUTURO MEJOR..VIVA la 4T VIVA EL Dr LOMELI Y VIVA MORENA..,16/10/2023 00:00,optimism
Nuestro próximo gobernador no como otros que apenas van llegando y ya quieren ser,16/10/2023 00:00,neutral
"Fan destacado
Teresa Arredondo",16/10/2023 00:00,neutral
En unidad lograremos la Cuarta Transformación de Jalisco!,16/10/2023 00:00,approval
"Estamos con usted, para usted y juntos lograremos concretar los objetivos de la 4T para Jalisco.",16/10/2023 00:00,approval
Ocotlán Jalisco con usted juntos por Jalisco y el profe julio en Ocotlán seguimos avanzando,16/10/2023 00:00,approval
Mi apoyo total,16/10/2023 00:00,caring
"Así es Dr. Carlos , juntos por el bienestar de Jalisco , cuente con nuestro apoyo !!",16/10/2023 00:00,approval
Todo Jalisco con el Dr. Lomelí,16/10/2023 00:00,neutral
La fuerza de la unidad con el Dr. Carlos Lomelí Bolaños,16/10/2023 00:00,neutral
Saludos desde bosques de Tonalá por un mejor Jalisco es Carlos Lomeli y Alejandro Buenrostro,16/10/2023 00:00,neutral
Es un honor estar con el doctor,16/10/2023 00:00,joy
Apoyo total,16/10/2023 00:00,neutral
Dr Carlos Lomeli vamos por Jalisco por transformación de la 4T,16/10/2023 00:00,neutral
"Apoyo total al doctor, por la transformación de jalisco",16/10/2023 00:00,caring
Ánimo Dr lomeli,16/10/2023 00:00,neutral
👍👍👍👍,16/10/2023 00:00,amusement
"Todo el apoyo desde Tonalá, al Dr. Carlos Lomelí, saludos",16/10/2023 00:00,joy
Cuente con el apoyo Dr Carlos Lomelí desde Tonalá y también el Regidor Alejandro Buenrostro,16/10/2023 00:00,neutral
Saludos estamos con ustedes para un mejor Jalisco es Carlos lomeli y Alex son personas de confianza,16/10/2023 00:00,neutral
El único cambio en Jalisco es con usted Dr. Carlos Lomelí y en Tonalá con el Regidor Alejandro Buenrostro de Morena,16/10/2023 00:00,neutral
El cambio único y verdadero es y se llama Dr. lomeli,16/10/2023 00:00,neutral
Estamos puestos Dr Carlos Lomelí vamos a la victoria contigo y claudia Sheinbaum ánimo,16/10/2023 00:00,excitement
Tlajomulco está con usted Dr y vamos por la Cuarta Transformación en Jalisco.,16/10/2023 00:00,neutral
Sin duda será el mejor perfil que conoce todo el estado de Jalisco para gobernar a Jalisco todo el apoyo Dr Carlos lomeli,16/10/2023 00:00,desire
Miguel Anguel Padilla Gutierrez,16/10/2023 00:00,neutral
"El pueblo de Jalisco estamos contigo estimado Doctor! No hay duda eres el único que #SíPuede construir la transformación de Jalisco, cuenta con nosotros!
#LomelíPorJalisc
o",16/10/2023 00:00,neutral
"Felicidades Dr.
Tlaquepaque y Jalisco con la 4T",16/10/2023 00:00,excitement
"Todo Jalisco necesita un Gobernador como usted Dr. Carlos Lomelí y unidos continuaremos con un mejor futuro para nuestra gente.
Jalisco lo merece100% La 4T",,optimism
Juntos seremos imparables! Jalisco ya despertó.,16/10/2023 00:00,optimism
"Seguir en unidad, seguir sumando y organizados con el Dr. Lomelí.",09/10/2023 00:00,neutral
eso es todo mi doc si se puede animo saludos desde poncitlan,16/10/2023 00:00,neutral
Juntos y Unidos por Jalisco con el Dr Carlos Lomeli!!!!!!!,16/10/2023 00:00,neutral
Desde el salto. Todo el apoyo a usted doc. Y a cuauhtémoc rentería.,09/10/2023 00:00,caring
La union hace la fuerza!! 💪,09/10/2023 00:00,neutral
"Con toda la actitud y respeto mi estimada y querida regidora Marta ,vamos con todo, saludos al dr. Carlos lomelí y a todos los equipos a nivel nacional de morena.",09/10/2023 00:00,gratitude
Unidad trasformación con el doctor Lomeli gobernador de Jalisco y el profe julio en Ocotlán Jalisco,09/10/2023 00:00,neutral
Con el dr LOMELI hasta el triunfo,09/10/2023 00:00,neutral
"Doctor Lomeli
Nuestro apoyo por la transformación de Jalisco, unidos por la 4T 👏👏👏",09/10/2023 00:00,approval
"Sigamos trabajando con la convicción de que no tenemos nada a nuestro favor, sin confiarnos, sin autocomplacenci
a y sin descanso. Ánimo!
Con el Dr Lomelí hasta el final!",09/10/2023 00:00,realization
Todo el Apoyo Dr. Carlos Lomelí,16/10/2023 00:00,neutral
Con todo con el dr lomeli,09/10/2023 00:00,neutral
"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",09/10/2023 00:00,admiration
"Por qué queremos que la 4 Transformación en Jalisco, se de en unidad, vamos a trabajar.",16/10/2023 00:00,approval
Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,09/10/2023 00:00,approval
"Saludos Dr. Lomeli Estamos trabajando en todo el municipio para cambiar el color, nuestro apoyo al proyecto que es encabezado por usted
Todo Poncitlán por la defensa d la 4T",16/10/2023 00:00,approval
La lealtad vale oro bien firmes con el doctor Carlos Lomeli futuro gobernador,09/10/2023 00:00,neutral
"Unidos por un mismo propósito, que Jalisco se pinte de guinda y que el Doctor Carlos Lomeli nos represente.",09/10/2023 00:00,neutral
Vamos a pintar de guinda todo el estado con el Doctor Lomeli 🙌💪,09/10/2023 00:00,desire
"Al 💯 con el Doctor Carlos lomelí
Próximo gobernador de Jalisco Viva, la 4ta transformación.",16/10/2023 00:00,approval
Adelante Dr Lomelí confiamos en la 4T,09/10/2023 00:00,approval
"Nuestro apoyo Doctor Lomelí, Unidos por la Transformación de Jalisco",09/10/2023 00:00,neutral
"El camino a una mejor calidad de vida para Jalisco es usted, Doctor Lomelí.
Equipo del Regidor Alejandro Buenrostro, presente.
Grupo Tonalá
Tonalá tmbn es morena!!.",09/10/2023 00:00,neutral
Dr Lomelí proximo gobernador de Jalisco,09/10/2023 00:00,neutral
"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",09/10/2023 00:00,caring
Si se puede.!!! Ánimo doctor Carlos Lomeli,09/10/2023 00:00,admiration
Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,09/10/2023 00:00,approval
Todo el apoyo al Dr Carlos Lomeli y al regidor Alejandro Buenrostro Tonalá para los que viven en Tonalá,09/10/2023 00:00,neutral
Apoyo total al doctor Lomeli gobernador,09/10/2023 00:00,approval
Súper bien,09/10/2023 00:00,admiration
Toda la familia ciprian ventura estamos con uste doc. Lomeli hay le encargo a cihualtan estamos olvidados x nuestras autoridades,09/10/2023 00:00,neutral
"Nuestro apoyo hacia usted, Dr. Lomeli.
Es la persona indicada y correcta para regir los destinos de Jalisco.
Somos del equipo del Regidor Alejandro Buenrostro, presente.
Grupo Tonalá
Tonalá tmbn es morena.",09/10/2023 00:00,approval
Un lugar que sin duda lo ayudo a su formacion academica Dr. Carlos Lomelí Bolaños por que usted ya traía bajo el brazo la vision y el liderazgo algo que sin lugar a dudas con eso se nace ....,09/10/2023 00:00,neutral
TODO EL APOYO DR. LOMELI!!,16/10/2023 00:00,caring
Animo Dr. Carlos Lomelí Bolaños que se llegara a la meta.💪🏾💪🏾💪🏾💪🏾💪🏾,09/10/2023 00:00,desire
Estamos con usted doctor,09/10/2023 00:00,neutral
"Saludos y como siempre con paso firme, un abrazo doctor",09/10/2023 00:00,neutral
Saludos desde zapotlanejo Jalisco,09/10/2023 00:00,neutral
Con la fuerza de la gente siempre.,09/10/2023 00:00,neutral
Animó doc.,09/10/2023 00:00,admiration
"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",09/10/2023 00:00,admiration
"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",09/10/2023 00:00,caring
Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,09/10/2023 00:00,approval
"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",09/10/2023 00:00,neutral
Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,09/10/2023 00:00,neutral
Con fianza onestida liderazgo con el doctor Lomeli gobernador,09/10/2023 00:00,neutral
Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,09/10/2023 00:00,neutral
Vamos por el triunfo doc,09/10/2023 00:00,neutral
"Confiamos ciegamente en usted mi Doc, nos consta su humanismo, Tlajomulco juega con usted!",09/10/2023 00:00,approval
Gracias doctor cada que voy Asus eventos me da más confianza y hoy me sentí que ya ganamos un fuerte abrazo,16/10/2023 00:00,gratitude
Yo confio,09/10/2023 00:00,approval
👍👍👍,09/10/2023 00:00,curiosity
Somos muchos pero no nos confiemos y trabajemos duro para que sea una realidad la 4T en Jalisco con el Dr Carlos Lomeli si señor!!!!!,16/10/2023 00:00,disapproval
Yo con Carlos Lomeli Tonalá Jalisco estamos con Carlos Lomeli esperanza para Jalisco,09/10/2023 00:00,neutral
Viva el dr Lomeli nuestro próximo gobernador muera la naranja podrida,16/10/2023 00:00,neutral
"saludos Doc, un abrazote y un Saludote vamos por la Gobernatura de Jalisco...las y los Jalicienses te necesitan y en este 2024; no sera la execepcion...to
dos y todas a las Urnas a realizar el cambio...con la Ola Ginda...MORENA",09/10/2023 00:00,neutral
De que Gana La Gubernatura La Gana Doctor Lomeli Vamos Todos,09/10/2023 00:00,neutral
"Fan destacado
Patti AmezLop",09/10/2023 00:00,neutral
"Dr. Carlos Lomelí Bolaños cuenta con todo nuestro apoyo, usted ¡si puede! transformar Jalisco",09/10/2023 00:00,gratitude
👍,09/10/2023 00:00,curiosity
"Si se puede, Claro q si con el Dr Dr. Carlos Lomelí Bolaños🏆",09/10/2023 00:00,neutral
Vamos por el triunfo Dr Carlos Lomelí,16/10/2023 00:00,neutral
Saludos jefe y con todo,09/10/2023 00:00,neutral
Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,09/10/2023 00:00,neutral
"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",09/10/2023 00:00,neutral
"El doctor Carlos Lomeli, un hombre honesto de gran corazón, el mejor",09/10/2023 00:00,admiration
Felicidades Dr. estamos con usted 🫶🏻🫶🏻🫶🏻,09/10/2023 00:00,approval
Saludos 🤝,09/10/2023 00:00,excitement
La grandeza te distingue doctor sigue asi,09/10/2023 00:00,admiration
"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",09/10/2023 00:00,admiration
Estamos con el Dr Carlos Lomelí desde Poncitlán,16/10/2023 00:00,neutral
Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,09/10/2023 00:00,approval
Juntos por Jalisco con el doctor Lomeli gobernador,09/10/2023 00:00,neutral
"Vamos por la 4t para Jalisco, usted es el indicado !!",09/10/2023 00:00,neutral
Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,09/10/2023 00:00,neutral
"El Doc, es quien puede traer a Jalisco el triunfo para lograr la verdadera transformación de la 4T,vamos Doc. Si se puede.",09/10/2023 00:00,neutral
"Felicidades a los dos Dr. Carlos Lomelí Bolaños Y al Dr. Oscar Nicolas García Lomeli
Saludos y un fuerte abrazo. Rumbo a la Victoria 2024",16/10/2023 00:00,excitement
"Todo nuestro apoyo leal y constante con usted doctor lomeli.
Somos equipo del Regidor Alejandro Buenrostro.
Equipo Tonalá
Tonalá tmbn es morena",09/10/2023 00:00,neutral
Mi gallo🐓💪🏽,16/10/2023 00:00,neutral
"Dr Lomeli estoy con usted y la 4T, pero todavía mucha Gente no lo conoce , aproveche más las redes Sociales, y necesitamos propuestas de desarrollo en todo el estado de Jalisco , y Guadalajara , en sus barrios más pobres ,",16/10/2023 00:00,neutral
Gracias dr Lomeli estamos con ustedesl,16/10/2023 00:00,gratitude
Edis eran los principios 🥁 de el temblor 🍊,16/10/2023 00:00,neutral
"Lo q el pueblo de jalisco Queremos escuchar. Es q cuando seas gobernador

QUITES LA VERIFICACIÓN RECAUDAORIA",09/10/2023 00:00,neutral
Teniendo principios vales mucho,09/10/2023 00:00,neutral
"Por esto y mucho más, Dr. Lomeli para GOBERNADOR de JALISCO",09/10/2023 00:00,neutral
Viva morena y lomeli para gobernador,09/10/2023 00:00,neutral
"Seamos concientes de que cuando se pierden valores , perdemos todos..",16/10/2023 00:00,realization
Cómo me encantaría q el dr Oscar llegará de director general a cruz verde Guadalajara sería magnifico,09/10/2023 00:00,love
"Fan destacado
Angelina Sanchez",16/10/2023 00:00,neutral
"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",09/10/2023 00:00,caring
Apoyo total para morena y su gente,09/10/2023 00:00,approval
