,texto
419,"Iniciamos nuestra tradicional conferencia de prensa, en este día nublado, tan nublado como la administración del gobierno municipal de Guadalajara.    "
420,Yo creo que quieres chayote con Harfuch    
421,"Dispendios millonarios realiza ⁦ ⁩ en contratación de banquetes. Es decir, comidas y cenas a todo lujo para sus cuates a cargo del dinero de los tapatíos, denuncia hoy ⁦  "
422,"Se diluyen las posibilidades de algunos, solo conozco a uno que ha trabajado por años  en la totalidad de los distritos y casi en todos los municipios y es el últimamente con un trabajo más profesional como lo merece  "
423,"Quieres a UN CESAR DUARTE, DE REGRESO ?

LA GENTE SIN CONCIENCIA SOCIAL QUIERE DE REGRESO LA CORRUPCION DEL PRIAN !!!

ESTAN PERDIDOS !!!    "
424,Chema la trae bien parada!*La bandera 4T*    
425,"¡¡¡Viva México!!! viva la 4T. Viva Flor Michel , Próxima Gobernadora!!!  "
426,"96 533 1,8 M"
427,"Jose Maria "" Chema""    "
428,Cuando tienes un INE a modo. ¿Todavía dudas de la dictadura? No se afectó a ninguno de los preferidos del presidente    
429,"Desde los 70s ya Veracruz era una cueva de narcos y corruptos, ahora te quejas?    "
430,Otra es que tú mujer te puso lo cuernos y tú todo pendejo hasta le llorabas    
431,"5 45 60,2 mil"
432,Especular es lo tuyo    
433,Puras teiboleras oficiales de Lopez Obrador    
434,"Sólo Tiene la experiencia, trayectoria y principios para gobernar Jalisco  "
435,"El Power Ranking de Jalisco se encuentra dividido, pues en los dos primeros lugares se encuentran el alcalde de Guadalajara, y en segundo lugar, pero muy de cerca, se encuentra el morenista  "
436,"3 143 371,2 mil"
437,". y , el"
438,"Bloqueen los boots por favor, solo votos serios    "
439,". y . Luis Alberto Michel y Alfonso Petersen suben en la actualización semanal.

Consulta todos los movimientos en:"
440,"No saben de otra forma, es una pena.    "
441,Yo veo en mi cama a tu mami y no digo nada    
442,Si es hombre Chema Martínez y si es mujer Clara Cárdenas.    
443,Yo siempre que puedo le hablo a las personas de que tenemos que hacer el cambio en jalisco. Y que no le crean a los medios todo lo que dicen queriendo poner en mal a nuestro presidente y ala 4T saludos.    
444,la mejor opción    
445,"8 48 241,1 mil"
446,"dr Hugo , el genocida?    "
447,Chema trae pura gente de barrio    
448,Mensaje post-visita a la sheinbaum    
449,La mejor opción para Jalisco    
450,"115 199 1,6 M"
451,"Ninguno de los anteriores, se puede    "
452,"Si queda , vas a ir a pedir chayote a como le hiciste con Arturo Núñez y no te van a dar nada.  "
453,En Yucatán no necesitan de Morena    
454,"Comprando votos los Michel y Clara , no que muy honestos en Morena…. Ah fichitas!  "
455,"1.351 18,3 mil  "
456,Vamos Chema    
457,"Luchemos, Chema Martínez    "
458,La respuesta José María chema    
459,"es y será el bueno para ser candidato por Morena en Jalisco, el asegura la victoria en el estado    "
460,Vamos con SIN BOTS  
461,es la mejor opción    
462,"Y sigues.....?
Ya estas claramente tomando partido y eso debilita tu credibilidad como comentarista noticioso 
Que tranza contigo    "
463,"2 8 423,8 mil"
464,"Chema Martínez, nuestro próximo gobernador de Jalisco..    "
465,"Estamos con hombre capaz, y de palabra, con experiencia en el servicio público.  "
466,Por sin pensarlo  
467,Yo prefiero a    
468,4 22 110 mil
469,José María Martínez    
470,Vamos contigo Chema Martínez    
471,Chema martinez    
472,Clara Brugada debe ser la candidata en CDMX si el dedazo por el policia no se consuma    
473,"242 308 9,7 M"
474,"No puede cerrar la semana sin decirle Sr. corrupto que ya debería desaparecer de la política, no le haya, no sabe ni qué show y que sigue perdiendo día con día la poca, muy poquísima dignidad que le queda.    "
475,Chema la mejor opcion    
476,Lo dice el amigo de los narcos.    
477,"Serás pndejo, maiceado y chayotero! Por eso lo pasas de ser lo que eres, cangrejo!    "
478,Chema es la mejor opción para Jalisco. Vamos con todo chema por un pueblo humanista y mejor calidad de vida para los ciudadanos    
479,Chinga tú madre ya vez si no vez tus cuernos menos a la momia de CDMX jajajaja jajajaja    
480,No pues esta canijo  solo asegura a MC de nuevo con esos candidatos    
481,Creó qué tienes mal tú análisis. No úbicas las fuerzas reales. No modo.    
482,"En los comentarios te das cuenta que los punteros están usando bots. 
Yo con .  "
483,Y quien dijo que usted es líder Doc????    
484,"No es cierto, tú te crees con liderazgo, pero lo tienes no por amor y compromiso, lo tienes por qué tienes $$$$, para comprar lo que quieras.    "
485,Jalisco conoce d lo q quiere y lo q quiere es un cambio junto a    
486,"11 86 638,6 mil"
487,     
488,Jalisco necesita un cambio humanista de la mano de    
489,     
490,Por un proceso limpio y justo .....    
491,"3 7 76,4 mil"
492,"Los varones... Fácil, ellos van a la cama de la Caro Cuernoschuecos    "
493,"Para cerrar la semana, es bueno recordar que el liderazgo se gana con amor y compromiso. Tengan un feliz domingo.    "
494,     
495,"EL Q TRAFICA MEDICINAS PARA GOBER DE   LA TIERRA DEL JARA
BE ?    "
496,"8 40 439,4 mil"
497,En Jalisco será la diferencia.Clara Cárdenas.    
498,Describiste a    
499,Chema Martínez    
500,Yo veo chayote en alta    
501,"tus pinches propuestas nos valen pura madre , ahórratelos , quien te crees    "
502,     
503,Chema Martínez es mi gallo    
504,"Es un mercenario , texto servidor les dicen    "
505,"1 7 198,4 mil"
506,Te falta un poco de mayor análisis sin sesgo político hacia el chayote… lee un poco lo que de verdad propuso el INE…    
507,Clara Cárdenas    
508,FLOR MICHEL    
509,Le pagan    
510,"5 19 1,2 M"
511,     
512,Y como le va a hacer Nahle si no es de Veracruz? La cornamenta te hace daño cerebral.    
513,Chema martinez    
514,"Que tú pronóstico Jalisco no se te haga NACHITO
Y de los otros tampoco te deseo suerte    "
515,"9 21 72,9 mil"
516,Sabemos que el mayor conocimiento es para  chema    
517,El Nacho Mierdas... Ese que nos ha podido decir de donde salió para los más de 200 espectaculares ooh vaya que ofertón    
518,"Cálmate Carlos todavía no llega, todavía no ocupa el tal alto cargo, no comas ancias    "
519,Chema    
520,Tu ves en todos    
521,CLARA CARDENAS TIENE EL ADN OBRADORISTA    
522,En Puebla debe ser Armenta    
523,Y en tu casa compa quien te imaginas q sea el ganó x allá    
524,Y yo veo a DR. GATELL  harfuch no va llegar  mucho menos CLARA BRUGADA  esta tienado mucho dinero en su campaña  en todoas las alcadia esta llenando de propaganda    
525,Olovooooorgo! Que paso ahí los sitios de tus compás frecuentados por mañosos.  
526,"2 30 22,3 mil"
527,Julio es desconocido pero no queremos a los oportunistas de los Primos Mier. Sus equipos están plagados de antiobradoristas.    
528,La ruta es Clara    
529,Ni quién conozca a Lomelí. Está ocupado haciendo negocios farmacéuticos.    
530,La ruta es clara    
531,"6 100 408,8 mil"
532,Luego el INE va a salir conque debe haber un compañere    
533,PURA MIERDA ENGAÑA CHINCHES...    
534,Claro que con Chema Martínez Gobernador    
535,Gobernador    
536,"3 69 452,5 mil"
537,Mier…da pena    
538,A Julio no lo quieren los poblanos 1 porque el primo del oportunista y qué le quería poner el pie a AMLO desde el senado y del PRD. Y solo está usando recursos públicos para su campaña que él sabe que no va a ganar    
539,     
540,Que culpa tiene Veracruz.... mas de lo mismo...    
541,Julio es desconocido y solo es primo de barboza. Cdmx deberia der Clara o Dr Hugo.    
542,     
543,"6 26 166,6 mil"
544,"Aprovechando el comercial sería posible que la lic. Pudiera visitar el Cenote natural ubicado a espaldas del panteón de gaviotas Norte y darle una mejora, tiene más de 3 años y creciendo.  "
545,"El detalle es q el NO puede decir a quien poner y en donde ponerlo, verán como con el  "
546,Fue para hablar del negocio del fentanilo ?    
547,No entiendo por qué siguen insistiendo en apoyar al narcopolicía . youtube.com Violencia en México: ¿El pretexto perfecto para la militarización del país? | Rubén Luengas #EnContacto | #ENVIVOApoya al proyecto en: Banco ScotiabankCLABE:...
548,"55 512 2,9 M"
549,"Harfuch jamás, esta vez si estás bien pende equivocado.    "
550,"Mejor una llave y cinturón para tu ruca bro ,eso de parecer mecánico todos los días está cañón mientras tú escribes mamadas    "
551,     
552,"Con alianza o sin alianza, vas tú como candidata, no podemos apoyar un político como el    "
553,"9 140 602,5 mil"
554,Oye y por qué ya no publicas nada del ?  
555,Yo veo a tu muuuuuuuu jer debajo de todos ellos    
556,Todos con !  
557,"Según, no pasará de acuerdo a la Constitución!!! Ahhhhh, no vallan a salir con que la Constitución es la Constitución!!!  "
558,Yo tengo otros datos.    
559,"No , se necesitan 4 mujeres, Veracruz, Rocío; Morelos, Lucía; Chiapas, Sasil y cdmx. Clara.  "
560,"Maestra usted debe de ser nuestra representante por el simple hecho de que sus raíces están limpias, su trayectoria viene de las bases    "
561,"El apoyo para , su excelente trabajo en el Congreso Local lo hace el candidato fuerte para Jalisco  "
562,"7 60 51,4 mil"
563,va!    
564,Roció no es jarocha pendejø no entra jamás aquí la vamos a mandar a Chingar su madre    
565,     
566,¿Los dos son del partido que no respondió al Embajador de Israel hace dos años cuando pidió eso?    
567,"2 10 171,7 mil"
568,"Así como las encuestas al interior de morena, pregúntele a Ebrard...    "
569,"Wow, Nachita! Eres vidente    "
570,¿Se aceptan mujeres trans?.    
571,"Chema, sin duda alguna    "
572,"27 341 1,7 M"
573,     
574,Ya es Nacho... Mierdrrr@    
575,Los varones en tabasco van por tu esposa a rellenarla de Salchicha    
576,"Wow, Nachita! Eres vidente    "
577,dicen y  
578,     
579,"Nada cobarde Nacho?
No va a decir nada ni referente a los mexicanos secuestrados en Gaza?
Vaya que desafortunado silencio de la secta de morena!
Qué asco    "
580,Es la ecuación. Dejar fuera a es lo mejor para CDMX  
581,"La respuesta es sencilla, en Jalisco    "
582,"Creo que el INE no te puede dar la orden de que en cdmx debe ser mujer, esas no deben ser sus facultades, de echo en la democracia el pueblo debe mandar, no el género, la política no es de géneros, es de capacidades y liderazgo, no importa si son hombres o mujeres    "
583,     
584,Chema..    
585,"1 6 24,3 mil"
586,"El Harfuch que apenas tuvo evento proselitista  con el líder sindical del metro ? , ese mismo líder sindical que tuvo muchos sabotajes y nunca pudo resolver? 
Pues  "
587,Chema la mejor opción!    
588,"Lo sentimos, pero no es lo que MORENA y tú quieran, pretendan o deseen, así te revuelques en el piso haciendo berrinche como niño en el supermercado en busca de que le compren su dulce a fuerza.
Atte.
El INE.    "
589,"Ah mira ya se sabe entonces quien te da dinero y a quien le vas a tirar mîęrdą HDTPM, el cørnûdø cørrûptązø.  "
590,"7 6 242,1 mil"
591,"Para los jaliscienses sería desastroso un Chema Martínez de gobernador. Este es un panista, emecista disfrazado de Morenista. Sería una traición de MORENA, igual a la que hicieron en Coahuila.    "
592,debe ser la siguiente Presidenta de México.    
593,     
594,La respuesta es    
595,Dile que aquí en Jalisco nadie la quiere como tampoco te queremos a ti huevon  
596,Y si mencionas ahora que la tesis de la “abogada” Esquivel es una copia y que la UNAM se lamenta la vergüenza??? Por favor quiero leerte    
597,"2 8 20,5 mil"
598,"Ahora sí, encuestas de prestigio ""cucharero""    "
599,"Osea Nacho, Yoli ni quería ser presidenta municipal. Deja el chayote, a fuerza ni los zapatos.    "
600,Jajaja el aprendiz del súper policía preso en USA a CDMX olvídense de la mayoría en la cámara!    
601,"Después del criterio del , ¿en donde irían varones? Yo veo a CDMX, con Harfuch. En Jalisco a y en Puebla a"
602,Es tiempo de mujeres!!! De modo que en Jalisco    
603,Jajajaja ni eso hacen bien    
604,"452 463 2,2 M"
605,     
606,"""Puentes de plata con el ""

-  "
607,"Esto esta amañado, los comentarios claramente la mayoría dicen clara y en los resultado va Chema muy arriba, de todos modos emití mi voto y mi comentario, ánimo    "
608,) clara es la respuesta    
609,4 121 315 mil
610,     
611,     
612,     
613,     
614,     
615,Errata: “transformación” *    
616,"¿El mismo que se dice inocente de haber desfalcado la obra inicial de la L12 del ?

¿Y con quién llegará la “transformación? ¿"
617,Chema Martínez    
618,"Se demuestra el cariño y el agradecimiento de haberle vendido f€ntanilo, teniendo suspendida su empresa. Entre narc0s se entienden… insurgente  "
619,"11 83 635,4 mil"
620,"Jalisco, nunca Morena!    "
621,"Mi voto para Clara Cárdenas, la ruta es CLARA para Jalisco    "
622,"¿Quién debería ser el candidato o candidata a la gubernatura de Jalisco por Morena?
• Clara Cárdenas
( )
• Carlos Lomelí
( )
• José María ""Chema""
("
623,jajaja nombre escriba un libro capas le dan premio novel  
624,6 4 183 mil
625,ni con esa señora sin chiste ganaran Jalisco    
626,De seguro estaba el anormal de con valen madr3 y más si tienen a
627,"Escucharon la más ""votada""... .
.
.
.
.
Y por los GIF"
628,Lord fenta recibiendo a Eschaira    
629,"7   19,3 mil"
630,    GIF
631,"Se la puso difícil a los morenistas de Jalisco. Les dejó de tarea: unidad, organización, movilización y suma, debeiron ser sinceros y decirle  que los 2 liderazgos má sfuertes: Alejandro peña y el  "
632,"Felicidades, siguen derrochando dinero del erario. Su hipocresía de ""primero los pobres"" es irónica e indignante. 

Hasta cuándo seguirá permitiendo actos anticipados de campaña.  El "" discurso que se utiliza es PROCELITISMO disfrazado de ""asambleas informativas""  "
633,No es cierto no te creo    
634,Si Dios hablara te pediria cuentas! Corrupto!   GIF
635,"Ahora si lo pelaron Dr., de a como le va a tocar cooperar? Porque para candidato no da!!!    "
636,"Hoy tuvimos el honor de recibir a la Dra. en Jalisco. Su compromiso con la Cuarta Transformación nos llena de inspiración. 

¡Apoyamos su liderazgo como Coordinadora de Defensa de la 4T!  "
637,De negocios poco claros. ( perdón por la repetición y)    
638,"Es otra rémora de 4a y si ahora estamos mal, coneate estaremos peor    "
639,No te arrastres chapulín sabes que morena no ganará jamás en Jalisco    
640,Par de lacras    
641,"52 75 459,9 mil"
642,Vamos  para  adelante  Doc. Sector  Agropecuario!!    
643,En Jalisco no queremos esto    
644,"93 likes en 6 horas ! Todo indica que no serás el elegido, date cuenta.    "
645,"Jajajajajaja son unos neanderthales.

Bienvenida a JALSICO    "
646,"181 242 8,2 M"
647,Jalsico???    
648,Agradecido con todas sus muestras de cariño y sus palabras de aliento.    
649,Como les arde asta el asiento saber que el doc Lomelí va aser nuestro próximo gobernador les guste o no ya lo verán    
650,"¿Adivinen quién falta en esta bella imagen?

Adivinaron:    "
651,"22 55 98,9 mil"
652,Par de corruptos    
653,     
654,A Érika Pérez más que tú la conoces.    
655,Llegó a Jalisco y presentes en el recibimiento dos importantes referentes en el estado: del meritito Tlaquepaque!
656,"Ahórrense los comentarios cursis..

¿Quieren ganar?

Prometan que van a cancelar el negociazo que hizo el marrano con las verficadoras y que se va a regresa a las de antes.

YA ESTAMOS HARTOS DE MC Y SUS MULTAS E IMPUESTOS POR TODO

Con eso ganan por goleada.    "
657,"¡Aguas, trae chinches!    "
658,Pues 12 años de campaña como no vas a recorrer el estado    
659,Ten lo por seguro vas a volver a perder    
660,"Que vaya a chingar a si madre, dile… ahh de paso que te lleve a ti también    "
661,"Exacto, los de sólo esperan que el  "
662,"Ccp sangre nueva( honestidad, trabajo , preparación, eficiencia y, de ser posible, carisma)  "
663,"155 103 12,9 M"
664,No queremos a ese sujeto como eterno candidato a gobernador. Sangre nueva sin sospecha de negocios sospechosos de medicinas    
665,"No, no vas a ser gobernador OOOTRA VEZ, saludos    "
666,"Saludando a una amiga de verdad, la primera mujer en ocupar la mas alta responsabilidad en México: la Dra. ¡Ella es!  "
667,"Si en verdad quiere ayudar a Claudia debería dar un paso al costado y dejar que otro sea el candidato a Gobernador. Los de MC aplauden que usted sea el candidato porque lo aplastarán nuevamente con lo de sus nexos con él narco, su foto en la cárcel y sus ventas de medicinas.    "
668,"6 29 605,9 mil"
669,"A transformar Jalisco!!! 
Todo nuestro apoyo para la Doctora y para el Doctor Lomelí    "
670,"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    "
671,"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    "
672,"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    "
673,"83 125 456,7 mil"
674,Jalisco y MORENA. Con mucha fuerza.    
675,El mejor equipo para la Transformación de Jalisco    
676,"Llegó a Guadalajara, ya en su papel de coordinadora de defensa de los Comités de la Cuarta Transformación. Aquí saludando a  "
677,"Jalisco será territorio morena,jalisco a sido muy maltratado.    "
678,"Llegó a Guadalajara, ya en su papel de coordinadora de defensa de los Comités de la Cuarta Transformación. Aquí saludando a  "
679,     
0,"Los 3 niveles de gobierno están pal perro, pero el federal si es una charlotada.    "
1,     
2,¿Qué más les queda para alcanzar el hueso?    
3,Con que cara    
4,es el bueno    
5,"Ánimo doc lo bueno que ya se van !
Sigue la 4ta  transformación    "
6,si de verdad se busca un cambio el debe ganar por mucho !    
7,"Pero ellos no son criminales como otros doc, de todos modos gracias por sacar ese monto (mínimo relacionado con lo que mueve cierto médico de manera ilegal) y por su preocupación!    "
8,     
9,Lamebotas    
10,"Clemente Castañeda nuestro apoyó total, será nuestro voto.
Lemus y Frangie artos y cansados la ciudadanía de lo que robado descaradamente, les saldrán más cosas escondidas de sus corruptelas.    "
11,Vamos con    
12,"Uno de los temas a tratar en nuestra , es la denuncia de cómo el 10"
13,Por supuesto es la mejor opcion para ser nuestro Gobernador  
14,Michel lopez    
15,"Jajajjaj pelagatos y lamebotas, cómo ya no se te hizo con Adán Augusto, ahora quieres chayote con Yolanda pero tampoco va llegar jajajaj    "
16,Excelente y buen día.    
17,"Iniciamos nuestra tradicional conferencia de prensa, en este día nublado, tan nublado como la administración del gobierno municipal de Guadalajara.   16"
18,Yo creo que quieres chayote con Harfuch    
19,"Dispendios millonarios realiza ⁦ ⁩ en contratación de banquetes. Es decir, comidas y cenas a todo lujo para sus cuates a cargo del dinero de los tapatíos, denuncia hoy ⁦ 58"
20,"Se diluyen las posibilidades de algunos, solo conozco a uno que ha trabajado por años  en la totalidad de los distritos y casi en todos los municipios y es el últimamente con un trabajo más profesional como lo merece 1"
21,"Quieres a UN CESAR DUARTE, DE REGRESO ?

LA GENTE SIN CONCIENCIA SOCIAL QUIERE DE REGRESO LA CORRUPCION DEL PRIAN !!!

ESTAN PERDIDOS !!!    "
22,Chema la trae bien parada!*La bandera 4T*    
23,"¡¡¡Viva México!!! viva la 4T. Viva Flor Michel , Próxima Gobernadora!!!  "
24,2.549    
25,"Jose Maria "" Chema""    "
26,Cuando tienes un INE a modo. ¿Todavía dudas de la dictadura? No se afectó a ninguno de los preferidos del presidente    
27,"Sólo Tiene la experiencia, trayectoria y principios para gobernar Jalisco  "
28,"El Power Ranking de Jalisco se encuentra dividido, pues en los dos primeros lugares se encuentran el alcalde de Guadalajara, y en segundo lugar, pero muy de cerca, se encuentra el morenista 4"
29,616 donio.cz donio.cz
30,. y 7
31,"Bloqueen los boots por favor, solo votos serios    "
32,. y 3
33,"No saben de otra forma, es una pena.    "
34,Yo veo en mi cama a tu mami y no digo nada    
35,Si es hombre Chema Martínez y si es mujer Clara Cárdenas.   3
36,Yo siempre que puedo le hablo a las personas de que tenemos que hacer el cambio en jalisco. Y que no le crean a los medios todo lo que dicen queriendo poner en mal a nuestro presidente y ala 4T saludos.    
37,la mejor opción    
38,7.704    
39,"dr Hugo , el genocida?    "
40,Chema trae pura gente de barrio    
41,Mensaje post-visita a la sheinbaum    
42,La mejor opción para Jalisco    
43,"Ninguno de los anteriores, se puede    "
44,"Si queda , vas a ir a pedir chayote a como le hiciste con Arturo Núñez y no te van a dar nada.  "
45,En Yucatán no necesitan de Morena    
46,"Comprando votos los Michel y Clara , no que muy honestos en Morena…. Ah fichitas!  "
47,Vamos Chema    
48,"Luchemos, Chema Martínez    "
49,La respuesta José María chema    
50,"es y será el bueno para ser candidato por Morena en Jalisco, el asegura la victoria en el estado    "
51,Vamos con SIN BOTS  
52,es la mejor opción    
53,"Y sigues.....?
Ya estas claramente tomando partido y eso debilita tu credibilidad como comentarista noticioso 
Que tranza contigo    "
54,62 Historical figures like Richard Wagner or paintings by Albrecht Dürer serve as  
55,"Chema Martínez, nuestro próximo gobernador de Jalisco..    "
56,"Estamos con hombre capaz, y de palabra, con experiencia en el servicio público.  "
57,Por sin pensarlo  
58,Yo prefiero a    
59,José María Martínez    
60,Vamos contigo Chema Martínez    
61,Chema martinez    
62,Clara Brugada debe ser la candidata en CDMX si el dedazo por el policia no se consuma    
63,"No puede cerrar la semana sin decirle Sr. corrupto que ya debería desaparecer de la política, no le haya, no sabe ni qué show y que sigue perdiendo día con día la poca, muy poquísima dignidad que le queda.    "
64,Chema la mejor opcion    
65,Lo dice el amigo de los narcos.    
66,"Serás pndejo, maiceado y chayotero! Por eso lo pasas de ser lo que eres, cangrejo!    "
67,Chema es la mejor opción para Jalisco. Vamos con todo chema por un pueblo humanista y mejor calidad de vida para los ciudadanos    
68,Chinga tú madre ya vez si no vez tus cuernos menos a la momia de CDMX jajajaja jajajaja    
69,No pues esta canijo  solo asegura a MC de nuevo con esos candidatos    
70,Creó qué tienes mal tú análisis. No úbicas las fuerzas reales. No modo.    
71,"En los comentarios te das cuenta que los punteros están usando bots. 
Yo con .  "
72,Y quien dijo que usted es líder Doc????    
73,"No es cierto, tú te crees con liderazgo, pero lo tienes no por amor y compromiso, lo tienes por qué tienes $$$$, para comprar lo que quieras.    "
74,Jalisco conoce d lo q quiere y lo q quiere es un cambio junto a    
75,     
76,Jalisco necesita un cambio humanista de la mano de    
77,     
78,Por un proceso limpio y justo .....    
79,111 Stream Hope Bloom  
80,"Los varones... Fácil, ellos van a la cama de la Caro Cuernoschuecos    "
81,"Para cerrar la semana, es bueno recordar que el liderazgo se gana con amor y compromiso. Tengan un feliz domingo.   9"
82,     
83,"EL Q TRAFICA MEDICINAS PARA GOBER DE   LA TIERRA DEL JARA
BE ?    "
84,En Jalisco será la diferencia.Clara Cárdenas.   4
85,Describiste a    
86,Chema Martínez    
87,Yo veo chayote en alta    
88,"tus pinches propuestas nos valen pura madre , ahórratelos , quien te crees    "
89,     
90,Chema Martínez es mi gallo    
91,"Es un mercenario , texto servidor les dicen    "
92,48    
93,Te falta un poco de mayor análisis sin sesgo político hacia el chayote… lee un poco lo que de verdad propuso el INE…   @NachoRgz
94,Clara Cárdenas    
95,FLOR MICHEL   4
96,Le pagan   1
97,889    
98,udgtv.com   4
99,Y como le va a hacer Nahle si no es de Veracruz? La cornamenta te hace daño cerebral.    
100,Chema martinez    
101,"Que tú pronóstico Jalisco no se te haga NACHITO
Y de los otros tampoco te deseo suerte    "
102,     
103,Sabemos que el mayor conocimiento es para  chema    
104,El Nacho Mierdas... Ese que nos ha podido decir de donde salió para los más de 200 espectaculares ooh vaya que ofertón    
105,"Cálmate Carlos todavía no llega, todavía no ocupa el tal alto cargo, no comas ancias    "
106,Chema    
107,Tu ves en todos    
108,CLARA CARDENAS TIENE EL ADN OBRADORISTA   7
109,En Puebla debe ser Armenta    
110,Y en tu casa compa quien te imaginas q sea el ganó x allá    
111,Y yo veo a DR. GATELL  harfuch no va llegar  mucho menos CLARA BRUGADA  esta tienado mucho dinero en su campaña  en todoas las alcadia esta llenando de propaganda    
112,Olovooooorgo! Que paso ahí los sitios de tus compás frecuentados por mañosos.  
113,Julio es desconocido pero no queremos a los oportunistas de los Primos Mier. Sus equipos están plagados de antiobradoristas.    
114,La ruta es Clara   2
115,Ni quién conozca a Lomelí. Está ocupado haciendo negocios farmacéuticos.    
116,La ruta es clara   5
117,41    
118,Luego el INE va a salir conque debe haber un compañere    
119,PURA MIERDA ENGAÑA CHINCHES...    
120,Claro que con Chema Martínez Gobernador    
121,Gobernador    
122,74 Empower the next generation. https://
123,Mier…da pena    
124,A Julio no lo quieren los poblanos 1 porque el primo del oportunista y qué le quería poner el pie a AMLO desde el senado y del PRD. Y solo está usando recursos públicos para su campaña que él sabe que no va a ganar    
125,     
126,Que culpa tiene Veracruz.... mas de lo mismo...   1
127,Julio es desconocido y solo es primo de barboza. Cdmx deberia der Clara o Dr Hugo.   13
128,     
129,"Aprovechando el comercial sería posible que la lic. Pudiera visitar el Cenote natural ubicado a espaldas del panteón de gaviotas Norte y darle una mejora, tiene más de 3 años y creciendo. 5"
130,"El detalle es q el NO puede decir a quien poner y en donde ponerlo, verán como con el  "
131,Fue para hablar del negocio del fentanilo ?    
132,No entiendo por qué siguen insistiendo en apoyar al narcopolicía . Violencia en México: ¿El pretexto perfecto para la militarización del país? | Rubén Luengas #EnContacto | #ENVIVOApoya al proyecto en: Banco ScotiabankCLABE:...  
133,"Harfuch jamás, esta vez si estás bien pende equivocado.    "
134,"Mejor una llave y cinturón para tu ruca bro ,eso de parecer mecánico todos los días está cañón mientras tú escribes mamadas    "
135,     
136,"Con alianza o sin alianza, vas tú como candidata, no podemos apoyar un político como el    "
137,Oye y por qué ya no publicas nada del ?  
138,Yo veo a tu muuuuuuuu jer debajo de todos ellos    
139,Todos con !  
140,"Según, no pasará de acuerdo a la Constitución!!! Ahhhhh, no vallan a salir con que la Constitución es la Constitución!!!  "
141,Yo tengo otros datos.    
142,"No , se necesitan 4 mujeres, Veracruz, Rocío; Morelos, Lucía; Chiapas, Sasil y cdmx. Clara.  "
143,"Maestra usted debe de ser nuestra representante por el simple hecho de que sus raíces están limpias, su trayectoria viene de las bases   9"
144,"El apoyo para , su excelente trabajo en el Congreso Local lo hace el candidato fuerte para Jalisco 10"
145,285 1. Folge https://
146,va!    
147,Roció no es jarocha pendejø no entra jamás aquí la vamos a mandar a Chingar su madre    
148,     
149,¿Los dos son del partido que no respondió al Embajador de Israel hace dos años cuando pidió eso?    
150,54   http://
151,"Así como las encuestas al interior de morena, pregúntele a Ebrard...    "
152,"Wow, Nachita! Eres vidente    "
153,¿Se aceptan mujeres trans?.    
154,"Chema, sin duda alguna    "
155,345 Stream Hope Bloom  
156,     
157,Ya es Nacho... Mierdrrr@    
158,Los varones en tabasco van por tu esposa a rellenarla de Salchicha    
159,"Wow, Nachita! Eres vidente    "
160,dicen y  
161,    5
162,"Nada cobarde Nacho?
No va a decir nada ni referente a los mexicanos secuestrados en Gaza?
Vaya que desafortunado silencio de la secta de morena!
Qué asco    "
163,Es la ecuación. Dejar fuera a es lo mejor para CDMX  
164,"La respuesta es sencilla, en Jalisco   8"
165,"Creo que el INE no te puede dar la orden de que en cdmx debe ser mujer, esas no deben ser sus facultades, de echo en la democracia el pueblo debe mandar, no el género, la política no es de géneros, es de capacidades y liderazgo, no importa si son hombres o mujeres    "
166,     
167,Chema..    
168,"El Harfuch que apenas tuvo evento proselitista  con el líder sindical del metro ? , ese mismo líder sindical que tuvo muchos sabotajes y nunca pudo resolver? 
Pues 1"
169,Chema la mejor opción!    
170,"Lo sentimos, pero no es lo que MORENA y tú quieran, pretendan o deseen, así te revuelques en el piso haciendo berrinche como niño en el supermercado en busca de que le compren su dulce a fuerza.
Atte.
El INE.    "
171,"Ah mira ya se sabe entonces quien te da dinero y a quien le vas a tirar mîęrdą HDTPM, el cørnûdø cørrûptązø.  "
172,"Para los jaliscienses sería desastroso un Chema Martínez de gobernador. Este es un panista, emecista disfrazado de Morenista. Sería una traición de MORENA, igual a la que hicieron en Coahuila.    "
173,debe ser la siguiente Presidenta de México.    
174,    6
175,La respuesta es   8
176,Dile que aquí en Jalisco nadie la quiere como tampoco te queremos a ti huevon  
177,Y si mencionas ahora que la tesis de la “abogada” Esquivel es una copia y que la UNAM se lamenta la vergüenza??? Por favor quiero leerte    
178,"Ah mira ya se sabe entonces quien te da dinero y a quien le vas a tirar mîęrdą HDTPM, el cørnûdø cørrûptązø.  "
179,"Ahora sí, encuestas de prestigio ""cucharero""    "
180,"Osea Nacho, Yoli ni quería ser presidenta municipal. Deja el chayote, a fuerza ni los zapatos.    "
181,116    
182,Jajaja el aprendiz del súper policía preso en USA a CDMX olvídense de la mayoría en la cámara!    
