texto,emocion
En CDMX    ,neutral
Todos son puercos y trompudos vea el de morena en el.salto en sus cosas personales gasta dinero del.pueblo    ,neutral
"1 7 81,4 mil",neutral
     ,neutral
"Vea a Harfuch? También Gatell, no lo omitas. Él es mucho mejor candidato qué Harfuch, aunque te pese. Tu ni vives en la cdmx, por qué lo apoyas?    ",neutral
La pura pus está en    ,neutral
Tambien pagan por asesorias no solo banquetes +25 mil pesos ! el raton de Salvador  Caro!  ,neutral
"11 124 377,7 mil",neutral
Circula en las REDES...    ,neutral
"gastando dinero ajeno, para eso son buenos los perros malditos hdsptm    ",neutral
     ,neutral
América Rangel    ,neutral
"10 87 646,1 mil",neutral
"Los 3 niveles de gobierno están pal perro, pero el federal si es una charlotada.    ",neutral
     ,neutral
¿Qué más les queda para alcanzar el hueso?    ,curiosity
Con que cara    ,neutral
es el bueno    ,approval
"Ánimo doc lo bueno que ya se van !
Sigue la 4ta  transformación    ",neutral
si de verdad se busca un cambio el debe ganar por mucho !    ,neutral
"2 10 74,5 mil",neutral
"Pero ellos no son criminales como otros doc, de todos modos gracias por sacar ese monto (mínimo relacionado con lo que mueve cierto médico de manera ilegal) y por su preocupación!    ",gratitude
     ,neutral
Lamebotas    ,neutral
"Clemente Castañeda nuestro apoyó total, será nuestro voto.
Lemus y Frangie artos y cansados la ciudadanía de lo que robado descaradamente, les saldrán más cosas escondidas de sus corruptelas.    ",optimism
"8 44 45,3 mil",neutral
Vamos con    ,neutral
"Uno de los temas a tratar en nuestra , es la denuncia de cómo el  ",neutral
Por supuesto es la mejor opcion para ser nuestro Gobernador  ,approval
Michel lopez    ,neutral
5 26 126 mil,neutral
"Jajajjaj pelagatos y lamebotas, cómo ya no se te hizo con Adán Augusto, ahora quieres chayote con Yolanda pero tampoco va llegar jajajaj    ",amusement
Excelente y buen día.    ,gratitude
"Iniciamos nuestra tradicional conferencia de prensa, en este día nublado, tan nublado como la administración del gobierno municipal de Guadalajara.    ",approval
Yo creo que quieres chayote con Harfuch    ,neutral
"Dispendios millonarios realiza ⁦ ⁩ en contratación de banquetes. Es decir, comidas y cenas a todo lujo para sus cuates a cargo del dinero de los tapatíos, denuncia hoy ⁦  ",neutral
"Se diluyen las posibilidades de algunos, solo conozco a uno que ha trabajado por años  en la totalidad de los distritos y casi en todos los municipios y es el últimamente con un trabajo más profesional como lo merece  ",admiration
"Quieres a UN CESAR DUARTE, DE REGRESO ?

LA GENTE SIN CONCIENCIA SOCIAL QUIERE DE REGRESO LA CORRUPCION DEL PRIAN !!!

ESTAN PERDIDOS !!!    ",curiosity
Chema la trae bien parada!*La bandera 4T*    ,neutral
"¡¡¡Viva México!!! viva la 4T. Viva Flor Michel , Próxima Gobernadora!!!  ",neutral
"96 533 1,8 M",neutral
"Jose Maria "" Chema""    ",neutral
Cuando tienes un INE a modo. ¿Todavía dudas de la dictadura? No se afectó a ninguno de los preferidos del presidente    ,curiosity
"Desde los 70s ya Veracruz era una cueva de narcos y corruptos, ahora te quejas?    ",curiosity
Otra es que tú mujer te puso lo cuernos y tú todo pendejo hasta le llorabas    ,neutral
"5 45 60,2 mil",neutral
Especular es lo tuyo    ,neutral
Puras teiboleras oficiales de Lopez Obrador    ,neutral
"Sólo Tiene la experiencia, trayectoria y principios para gobernar Jalisco  ",admiration
"El Power Ranking de Jalisco se encuentra dividido, pues en los dos primeros lugares se encuentran el alcalde de Guadalajara, y en segundo lugar, pero muy de cerca, se encuentra el morenista  ",neutral
"3 143 371,2 mil",neutral
". y , el",neutral
"Bloqueen los boots por favor, solo votos serios    ",anger
". y . Luis Alberto Michel y Alfonso Petersen suben en la actualización semanal.

Consulta todos los movimientos en:",neutral
"No saben de otra forma, es una pena.    ",embarrassment
Yo veo en mi cama a tu mami y no digo nada    ,neutral
Si es hombre Chema Martínez y si es mujer Clara Cárdenas.    ,neutral
Yo siempre que puedo le hablo a las personas de que tenemos que hacer el cambio en jalisco. Y que no le crean a los medios todo lo que dicen queriendo poner en mal a nuestro presidente y ala 4T saludos.    ,neutral
la mejor opción    ,admiration
"8 48 241,1 mil",neutral
"dr Hugo , el genocida?    ",curiosity
Chema trae pura gente de barrio    ,neutral
Mensaje post-visita a la sheinbaum    ,neutral
La mejor opción para Jalisco    ,approval
"115 199 1,6 M",neutral
"Ninguno de los anteriores, se puede    ",neutral
"Si queda , vas a ir a pedir chayote a como le hiciste con Arturo Núñez y no te van a dar nada.  ",neutral
En Yucatán no necesitan de Morena    ,neutral
"Comprando votos los Michel y Clara , no que muy honestos en Morena…. Ah fichitas!  ",disapproval
"1.351 18,3 mil  ",neutral
Vamos Chema    ,neutral
"Luchemos, Chema Martínez    ",neutral
La respuesta José María chema    ,neutral
"es y será el bueno para ser candidato por Morena en Jalisco, el asegura la victoria en el estado    ",approval
Vamos con SIN BOTS  ,neutral
es la mejor opción    ,approval
"Y sigues.....?
Ya estas claramente tomando partido y eso debilita tu credibilidad como comentarista noticioso 
Que tranza contigo    ",curiosity
"2 8 423,8 mil",neutral
"Chema Martínez, nuestro próximo gobernador de Jalisco..    ",neutral
"Estamos con hombre capaz, y de palabra, con experiencia en el servicio público.  ",neutral
Por sin pensarlo  ,neutral
Yo prefiero a    ,approval
4 22 110 mil,neutral
José María Martínez    ,neutral
Vamos contigo Chema Martínez    ,neutral
Chema martinez    ,neutral
Clara Brugada debe ser la candidata en CDMX si el dedazo por el policia no se consuma    ,neutral
"242 308 9,7 M",neutral
"No puede cerrar la semana sin decirle Sr. corrupto que ya debería desaparecer de la política, no le haya, no sabe ni qué show y que sigue perdiendo día con día la poca, muy poquísima dignidad que le queda.    ",disappointment
Chema la mejor opcion    ,optimism
Lo dice el amigo de los narcos.    ,neutral
"Serás pndejo, maiceado y chayotero! Por eso lo pasas de ser lo que eres, cangrejo!    ",caring
Chema es la mejor opción para Jalisco. Vamos con todo chema por un pueblo humanista y mejor calidad de vida para los ciudadanos    ,approval
Chinga tú madre ya vez si no vez tus cuernos menos a la momia de CDMX jajajaja jajajaja    ,amusement
No pues esta canijo  solo asegura a MC de nuevo con esos candidatos    ,neutral
Creó qué tienes mal tú análisis. No úbicas las fuerzas reales. No modo.    ,disapproval
"En los comentarios te das cuenta que los punteros están usando bots. 
Yo con .  ",realization
Y quien dijo que usted es líder Doc????    ,curiosity
"No es cierto, tú te crees con liderazgo, pero lo tienes no por amor y compromiso, lo tienes por qué tienes $$$$, para comprar lo que quieras.    ",neutral
Jalisco conoce d lo q quiere y lo q quiere es un cambio junto a    ,neutral
"11 86 638,6 mil",neutral
     ,neutral
Jalisco necesita un cambio humanista de la mano de    ,neutral
     ,neutral
Por un proceso limpio y justo .....    ,approval
"3 7 76,4 mil",neutral
"Los varones... Fácil, ellos van a la cama de la Caro Cuernoschuecos    ",neutral
"Para cerrar la semana, es bueno recordar que el liderazgo se gana con amor y compromiso. Tengan un feliz domingo.    ",joy
     ,neutral
"EL Q TRAFICA MEDICINAS PARA GOBER DE   LA TIERRA DEL JARA
BE ?    ",neutral
"8 40 439,4 mil",neutral
En Jalisco será la diferencia.Clara Cárdenas.    ,neutral
Describiste a    ,neutral
Chema Martínez    ,neutral
Yo veo chayote en alta    ,neutral
"tus pinches propuestas nos valen pura madre , ahórratelos , quien te crees    ",neutral
     ,neutral
Chema Martínez es mi gallo    ,neutral
"Es un mercenario , texto servidor les dicen    ",neutral
"1 7 198,4 mil",neutral
Te falta un poco de mayor análisis sin sesgo político hacia el chayote… lee un poco lo que de verdad propuso el INE…    ,neutral
Clara Cárdenas    ,neutral
FLOR MICHEL    ,neutral
Le pagan    ,neutral
"5 19 1,2 M",neutral
     ,neutral
Y como le va a hacer Nahle si no es de Veracruz? La cornamenta te hace daño cerebral.    ,neutral
Chema martinez    ,neutral
"Que tú pronóstico Jalisco no se te haga NACHITO
Y de los otros tampoco te deseo suerte    ",optimism
"9 21 72,9 mil",neutral
Sabemos que el mayor conocimiento es para  chema    ,admiration
El Nacho Mierdas... Ese que nos ha podido decir de donde salió para los más de 200 espectaculares ooh vaya que ofertón    ,excitement
"Cálmate Carlos todavía no llega, todavía no ocupa el tal alto cargo, no comas ancias    ",neutral
Chema    ,neutral
Tu ves en todos    ,neutral
CLARA CARDENAS TIENE EL ADN OBRADORISTA    ,neutral
En Puebla debe ser Armenta    ,neutral
Y en tu casa compa quien te imaginas q sea el ganó x allá    ,optimism
Y yo veo a DR. GATELL  harfuch no va llegar  mucho menos CLARA BRUGADA  esta tienado mucho dinero en su campaña  en todoas las alcadia esta llenando de propaganda    ,neutral
Olovooooorgo! Que paso ahí los sitios de tus compás frecuentados por mañosos.  ,curiosity
"2 30 22,3 mil",neutral
Julio es desconocido pero no queremos a los oportunistas de los Primos Mier. Sus equipos están plagados de antiobradoristas.    ,neutral
La ruta es Clara    ,neutral
Ni quién conozca a Lomelí. Está ocupado haciendo negocios farmacéuticos.    ,neutral
La ruta es clara    ,neutral
"6 100 408,8 mil",neutral
Luego el INE va a salir conque debe haber un compañere    ,neutral
PURA MIERDA ENGAÑA CHINCHES...    ,disgust
Claro que con Chema Martínez Gobernador    ,neutral
Gobernador    ,neutral
"3 69 452,5 mil",neutral
Mier…da pena    ,remorse
A Julio no lo quieren los poblanos 1 porque el primo del oportunista y qué le quería poner el pie a AMLO desde el senado y del PRD. Y solo está usando recursos públicos para su campaña que él sabe que no va a ganar    ,neutral
     ,neutral
Que culpa tiene Veracruz.... mas de lo mismo...    ,annoyance
Julio es desconocido y solo es primo de barboza. Cdmx deberia der Clara o Dr Hugo.    ,neutral
     ,neutral
"6 26 166,6 mil",neutral
"Aprovechando el comercial sería posible que la lic. Pudiera visitar el Cenote natural ubicado a espaldas del panteón de gaviotas Norte y darle una mejora, tiene más de 3 años y creciendo.  ",approval
"El detalle es q el NO puede decir a quien poner y en donde ponerlo, verán como con el  ",neutral
Fue para hablar del negocio del fentanilo ?    ,curiosity
No entiendo por qué siguen insistiendo en apoyar al narcopolicía . youtube.com Violencia en México: ¿El pretexto perfecto para la militarización del país? | Rubén Luengas #EnContacto | #ENVIVOApoya al proyecto en: Banco ScotiabankCLABE:...,confusion
"55 512 2,9 M",neutral
"Harfuch jamás, esta vez si estás bien pende equivocado.    ",neutral
"Mejor una llave y cinturón para tu ruca bro ,eso de parecer mecánico todos los días está cañón mientras tú escribes mamadas    ",neutral
     ,neutral
"Con alianza o sin alianza, vas tú como candidata, no podemos apoyar un político como el    ",disapproval
"9 140 602,5 mil",neutral
Oye y por qué ya no publicas nada del ?  ,neutral
Yo veo a tu muuuuuuuu jer debajo de todos ellos    ,neutral
Todos con !  ,neutral
"Según, no pasará de acuerdo a la Constitución!!! Ahhhhh, no vallan a salir con que la Constitución es la Constitución!!!  ",disapproval
Yo tengo otros datos.    ,neutral
"No , se necesitan 4 mujeres, Veracruz, Rocío; Morelos, Lucía; Chiapas, Sasil y cdmx. Clara.  ",neutral
"Maestra usted debe de ser nuestra representante por el simple hecho de que sus raíces están limpias, su trayectoria viene de las bases    ",neutral
"El apoyo para , su excelente trabajo en el Congreso Local lo hace el candidato fuerte para Jalisco  ",admiration
"7 60 51,4 mil",neutral
va!    ,neutral
Roció no es jarocha pendejø no entra jamás aquí la vamos a mandar a Chingar su madre    ,neutral
     ,neutral
¿Los dos son del partido que no respondió al Embajador de Israel hace dos años cuando pidió eso?    ,neutral
"2 10 171,7 mil",neutral
"Así como las encuestas al interior de morena, pregúntele a Ebrard...    ",neutral
"Wow, Nachita! Eres vidente    ",surprise
¿Se aceptan mujeres trans?.    ,approval
"Chema, sin duda alguna    ",neutral
"27 341 1,7 M",neutral
     ,neutral
Ya es Nacho... Mierdrrr@    ,disgust
Los varones en tabasco van por tu esposa a rellenarla de Salchicha    ,neutral
"Wow, Nachita! Eres vidente    ",surprise
dicen y  ,neutral
     ,neutral
"Nada cobarde Nacho?
No va a decir nada ni referente a los mexicanos secuestrados en Gaza?
Vaya que desafortunado silencio de la secta de morena!
Qué asco    ",curiosity
Es la ecuación. Dejar fuera a es lo mejor para CDMX  ,neutral
"La respuesta es sencilla, en Jalisco    ",neutral
"Creo que el INE no te puede dar la orden de que en cdmx debe ser mujer, esas no deben ser sus facultades, de echo en la democracia el pueblo debe mandar, no el género, la política no es de géneros, es de capacidades y liderazgo, no importa si son hombres o mujeres    ",realization
     ,neutral
Chema..    ,neutral
"1 6 24,3 mil",neutral
"El Harfuch que apenas tuvo evento proselitista  con el líder sindical del metro ? , ese mismo líder sindical que tuvo muchos sabotajes y nunca pudo resolver? 
Pues  ",neutral
Chema la mejor opción!    ,approval
"Lo sentimos, pero no es lo que MORENA y tú quieran, pretendan o deseen, así te revuelques en el piso haciendo berrinche como niño en el supermercado en busca de que le compren su dulce a fuerza.
Atte.
El INE.    ",neutral
"Ah mira ya se sabe entonces quien te da dinero y a quien le vas a tirar mîęrdą HDTPM, el cørnûdø cørrûptązø.  ",neutral
"7 6 242,1 mil",neutral
"Para los jaliscienses sería desastroso un Chema Martínez de gobernador. Este es un panista, emecista disfrazado de Morenista. Sería una traición de MORENA, igual a la que hicieron en Coahuila.    ",disapproval
debe ser la siguiente Presidenta de México.    ,neutral
     ,neutral
La respuesta es    ,neutral
Dile que aquí en Jalisco nadie la quiere como tampoco te queremos a ti huevon  ,disapproval
Y si mencionas ahora que la tesis de la “abogada” Esquivel es una copia y que la UNAM se lamenta la vergüenza??? Por favor quiero leerte    ,curiosity
"2 8 20,5 mil",neutral
"Ahora sí, encuestas de prestigio ""cucharero""    ",neutral
"Osea Nacho, Yoli ni quería ser presidenta municipal. Deja el chayote, a fuerza ni los zapatos.    ",neutral
Jajaja el aprendiz del súper policía preso en USA a CDMX olvídense de la mayoría en la cámara!    ,amusement
"Después del criterio del , ¿en donde irían varones? Yo veo a CDMX, con Harfuch. En Jalisco a y en Puebla a",curiosity
Es tiempo de mujeres!!! De modo que en Jalisco    ,approval
Jajajaja ni eso hacen bien    ,amusement
"452 463 2,2 M",neutral
     ,neutral
"""Puentes de plata con el ""

-  ",neutral
"Esto esta amañado, los comentarios claramente la mayoría dicen clara y en los resultado va Chema muy arriba, de todos modos emití mi voto y mi comentario, ánimo    ",optimism
) clara es la respuesta    ,neutral
4 121 315 mil,neutral
     ,neutral
     ,neutral
     ,neutral
     ,neutral
     ,neutral
Errata: “transformación” *    ,neutral
"¿El mismo que se dice inocente de haber desfalcado la obra inicial de la L12 del ?

¿Y con quién llegará la “transformación? ¿",curiosity
Chema Martínez    ,neutral
"Se demuestra el cariño y el agradecimiento de haberle vendido f€ntanilo, teniendo suspendida su empresa. Entre narc0s se entienden… insurgente  ",neutral
"11 83 635,4 mil",neutral
"Jalisco, nunca Morena!    ",neutral
"Mi voto para Clara Cárdenas, la ruta es CLARA para Jalisco    ",approval
"¿Quién debería ser el candidato o candidata a la gubernatura de Jalisco por Morena?
• Clara Cárdenas
( )
• Carlos Lomelí
( )
• José María ""Chema""
(",curiosity
jajaja nombre escriba un libro capas le dan premio novel  ,amusement
6 4 183 mil,neutral
ni con esa señora sin chiste ganaran Jalisco    ,amusement
De seguro estaba el anormal de con valen madr3 y más si tienen a,neutral
"Escucharon la más ""votada""... .
.
.
.
.
Y por los GIF",neutral
Lord fenta recibiendo a Eschaira    ,neutral
"7   19,3 mil",neutral
    GIF,neutral
"Se la puso difícil a los morenistas de Jalisco. Les dejó de tarea: unidad, organización, movilización y suma, debeiron ser sinceros y decirle  que los 2 liderazgos má sfuertes: Alejandro peña y el  ",realization
"Felicidades, siguen derrochando dinero del erario. Su hipocresía de ""primero los pobres"" es irónica e indignante. 

Hasta cuándo seguirá permitiendo actos anticipados de campaña.  El "" discurso que se utiliza es PROCELITISMO disfrazado de ""asambleas informativas""  ",gratitude
No es cierto no te creo    ,disapproval
Si Dios hablara te pediria cuentas! Corrupto!   GIF,surprise
"Ahora si lo pelaron Dr., de a como le va a tocar cooperar? Porque para candidato no da!!!    ",neutral
"Hoy tuvimos el honor de recibir a la Dra. en Jalisco. Su compromiso con la Cuarta Transformación nos llena de inspiración. 

¡Apoyamos su liderazgo como Coordinadora de Defensa de la 4T!  ",caring
De negocios poco claros. ( perdón por la repetición y)    ,confusion
"Es otra rémora de 4a y si ahora estamos mal, coneate estaremos peor    ",annoyance
No te arrastres chapulín sabes que morena no ganará jamás en Jalisco    ,optimism
Par de lacras    ,neutral
"52 75 459,9 mil",neutral
Vamos  para  adelante  Doc. Sector  Agropecuario!!    ,approval
En Jalisco no queremos esto    ,disapproval
"93 likes en 6 horas ! Todo indica que no serás el elegido, date cuenta.    ",realization
"Jajajajajaja son unos neanderthales.

Bienvenida a JALSICO    ",amusement
"181 242 8,2 M",neutral
Jalsico???    ,confusion
Agradecido con todas sus muestras de cariño y sus palabras de aliento.    ,gratitude
Como les arde asta el asiento saber que el doc Lomelí va aser nuestro próximo gobernador les guste o no ya lo verán    ,neutral
"¿Adivinen quién falta en esta bella imagen?

Adivinaron:    ",admiration
"22 55 98,9 mil",neutral
Par de corruptos    ,neutral
     ,neutral
A Érika Pérez más que tú la conoces.    ,neutral
Llegó a Jalisco y presentes en el recibimiento dos importantes referentes en el estado: del meritito Tlaquepaque!,neutral
"Ahórrense los comentarios cursis..

¿Quieren ganar?

Prometan que van a cancelar el negociazo que hizo el marrano con las verficadoras y que se va a regresa a las de antes.

YA ESTAMOS HARTOS DE MC Y SUS MULTAS E IMPUESTOS POR TODO

Con eso ganan por goleada.    ",neutral
"¡Aguas, trae chinches!    ",neutral
Pues 12 años de campaña como no vas a recorrer el estado    ,neutral
Ten lo por seguro vas a volver a perder    ,optimism
"Que vaya a chingar a si madre, dile… ahh de paso que te lleve a ti también    ",anger
"Exacto, los de sólo esperan que el  ",approval
"Ccp sangre nueva( honestidad, trabajo , preparación, eficiencia y, de ser posible, carisma)  ",neutral
"155 103 12,9 M",neutral
No queremos a ese sujeto como eterno candidato a gobernador. Sangre nueva sin sospecha de negocios sospechosos de medicinas    ,disapproval
"No, no vas a ser gobernador OOOTRA VEZ, saludos    ",joy
"Saludando a una amiga de verdad, la primera mujer en ocupar la mas alta responsabilidad en México: la Dra. ¡Ella es!  ",neutral
"Si en verdad quiere ayudar a Claudia debería dar un paso al costado y dejar que otro sea el candidato a Gobernador. Los de MC aplauden que usted sea el candidato porque lo aplastarán nuevamente con lo de sus nexos con él narco, su foto en la cárcel y sus ventas de medicinas.    ",neutral
"6 29 605,9 mil",neutral
"A transformar Jalisco!!! 
Todo nuestro apoyo para la Doctora y para el Doctor Lomelí    ",optimism
"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    ",neutral
"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    ",neutral
"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    ",neutral
"83 125 456,7 mil",neutral
Jalisco y MORENA. Con mucha fuerza.    ,admiration
El mejor equipo para la Transformación de Jalisco    ,admiration
"Llegó a Guadalajara, ya en su papel de coordinadora de defensa de los Comités de la Cuarta Transformación. Aquí saludando a  ",neutral
"Jalisco será territorio morena,jalisco a sido muy maltratado.    ",neutral
"Llegó a Guadalajara, ya en su papel de coordinadora de defensa de los Comités de la Cuarta Transformación. Aquí saludando a  ",neutral
     ,neutral
"Los 3 niveles de gobierno están pal perro, pero el federal si es una charlotada.    ",neutral
     ,neutral
¿Qué más les queda para alcanzar el hueso?    ,curiosity
Con que cara    ,neutral
es el bueno    ,approval
"Ánimo doc lo bueno que ya se van !
Sigue la 4ta  transformación    ",neutral
si de verdad se busca un cambio el debe ganar por mucho !    ,neutral
"Pero ellos no son criminales como otros doc, de todos modos gracias por sacar ese monto (mínimo relacionado con lo que mueve cierto médico de manera ilegal) y por su preocupación!    ",gratitude
     ,neutral
Lamebotas    ,neutral
"Clemente Castañeda nuestro apoyó total, será nuestro voto.
Lemus y Frangie artos y cansados la ciudadanía de lo que robado descaradamente, les saldrán más cosas escondidas de sus corruptelas.    ",optimism
Vamos con    ,neutral
"Uno de los temas a tratar en nuestra , es la denuncia de cómo el 10",neutral
Por supuesto es la mejor opcion para ser nuestro Gobernador  ,approval
Michel lopez    ,neutral
"Jajajjaj pelagatos y lamebotas, cómo ya no se te hizo con Adán Augusto, ahora quieres chayote con Yolanda pero tampoco va llegar jajajaj    ",amusement
Excelente y buen día.    ,gratitude
"Iniciamos nuestra tradicional conferencia de prensa, en este día nublado, tan nublado como la administración del gobierno municipal de Guadalajara.   16",approval
Yo creo que quieres chayote con Harfuch    ,neutral
"Dispendios millonarios realiza ⁦ ⁩ en contratación de banquetes. Es decir, comidas y cenas a todo lujo para sus cuates a cargo del dinero de los tapatíos, denuncia hoy ⁦ 58",neutral
"Se diluyen las posibilidades de algunos, solo conozco a uno que ha trabajado por años  en la totalidad de los distritos y casi en todos los municipios y es el últimamente con un trabajo más profesional como lo merece 1",admiration
"Quieres a UN CESAR DUARTE, DE REGRESO ?

LA GENTE SIN CONCIENCIA SOCIAL QUIERE DE REGRESO LA CORRUPCION DEL PRIAN !!!

ESTAN PERDIDOS !!!    ",curiosity
Chema la trae bien parada!*La bandera 4T*    ,neutral
"¡¡¡Viva México!!! viva la 4T. Viva Flor Michel , Próxima Gobernadora!!!  ",neutral
2.549,neutral
"Jose Maria "" Chema""    ",neutral
Cuando tienes un INE a modo. ¿Todavía dudas de la dictadura? No se afectó a ninguno de los preferidos del presidente    ,curiosity
"Sólo Tiene la experiencia, trayectoria y principios para gobernar Jalisco  ",admiration
"El Power Ranking de Jalisco se encuentra dividido, pues en los dos primeros lugares se encuentran el alcalde de Guadalajara, y en segundo lugar, pero muy de cerca, se encuentra el morenista 4",neutral
616 donio.cz donio.cz,neutral
. y 7,neutral
"Bloqueen los boots por favor, solo votos serios    ",anger
. y 3,neutral
"No saben de otra forma, es una pena.    ",embarrassment
Yo veo en mi cama a tu mami y no digo nada    ,neutral
Si es hombre Chema Martínez y si es mujer Clara Cárdenas.   3,neutral
Yo siempre que puedo le hablo a las personas de que tenemos que hacer el cambio en jalisco. Y que no le crean a los medios todo lo que dicen queriendo poner en mal a nuestro presidente y ala 4T saludos.    ,neutral
la mejor opción    ,admiration
7.704,neutral
"dr Hugo , el genocida?    ",curiosity
Chema trae pura gente de barrio    ,neutral
Mensaje post-visita a la sheinbaum    ,neutral
La mejor opción para Jalisco    ,approval
"Ninguno de los anteriores, se puede    ",neutral
"Si queda , vas a ir a pedir chayote a como le hiciste con Arturo Núñez y no te van a dar nada.  ",neutral
En Yucatán no necesitan de Morena    ,neutral
"Comprando votos los Michel y Clara , no que muy honestos en Morena…. Ah fichitas!  ",disapproval
Vamos Chema    ,neutral
"Luchemos, Chema Martínez    ",neutral
La respuesta José María chema    ,neutral
"es y será el bueno para ser candidato por Morena en Jalisco, el asegura la victoria en el estado    ",approval
Vamos con SIN BOTS  ,neutral
es la mejor opción    ,approval
"Y sigues.....?
Ya estas claramente tomando partido y eso debilita tu credibilidad como comentarista noticioso 
Que tranza contigo    ",curiosity
62 Historical figures like Richard Wagner or paintings by Albrecht Dürer serve as  ,neutral
"Chema Martínez, nuestro próximo gobernador de Jalisco..    ",neutral
"Estamos con hombre capaz, y de palabra, con experiencia en el servicio público.  ",neutral
Por sin pensarlo  ,neutral
Yo prefiero a    ,approval
José María Martínez    ,neutral
Vamos contigo Chema Martínez    ,neutral
Chema martinez    ,neutral
Clara Brugada debe ser la candidata en CDMX si el dedazo por el policia no se consuma    ,neutral
"No puede cerrar la semana sin decirle Sr. corrupto que ya debería desaparecer de la política, no le haya, no sabe ni qué show y que sigue perdiendo día con día la poca, muy poquísima dignidad que le queda.    ",disappointment
Chema la mejor opcion    ,optimism
Lo dice el amigo de los narcos.    ,neutral
"Serás pndejo, maiceado y chayotero! Por eso lo pasas de ser lo que eres, cangrejo!    ",caring
Chema es la mejor opción para Jalisco. Vamos con todo chema por un pueblo humanista y mejor calidad de vida para los ciudadanos    ,approval
Chinga tú madre ya vez si no vez tus cuernos menos a la momia de CDMX jajajaja jajajaja    ,amusement
No pues esta canijo  solo asegura a MC de nuevo con esos candidatos    ,neutral
Creó qué tienes mal tú análisis. No úbicas las fuerzas reales. No modo.    ,disapproval
"En los comentarios te das cuenta que los punteros están usando bots. 
Yo con .  ",realization
Y quien dijo que usted es líder Doc????    ,curiosity
"No es cierto, tú te crees con liderazgo, pero lo tienes no por amor y compromiso, lo tienes por qué tienes $$$$, para comprar lo que quieras.    ",neutral
Jalisco conoce d lo q quiere y lo q quiere es un cambio junto a    ,neutral
     ,neutral
Jalisco necesita un cambio humanista de la mano de    ,neutral
     ,neutral
Por un proceso limpio y justo .....    ,approval
111 Stream Hope Bloom  ,neutral
"Los varones... Fácil, ellos van a la cama de la Caro Cuernoschuecos    ",neutral
"Para cerrar la semana, es bueno recordar que el liderazgo se gana con amor y compromiso. Tengan un feliz domingo.   9",joy
     ,neutral
"EL Q TRAFICA MEDICINAS PARA GOBER DE   LA TIERRA DEL JARA
BE ?    ",neutral
En Jalisco será la diferencia.Clara Cárdenas.   4,neutral
Describiste a    ,neutral
Chema Martínez    ,neutral
Yo veo chayote en alta    ,neutral
"tus pinches propuestas nos valen pura madre , ahórratelos , quien te crees    ",neutral
     ,neutral
Chema Martínez es mi gallo    ,neutral
"Es un mercenario , texto servidor les dicen    ",neutral
48,neutral
Te falta un poco de mayor análisis sin sesgo político hacia el chayote… lee un poco lo que de verdad propuso el INE…   @NachoRgz,neutral
Clara Cárdenas    ,neutral
FLOR MICHEL   4,neutral
Le pagan   1,neutral
889,neutral
udgtv.com   4,neutral
Y como le va a hacer Nahle si no es de Veracruz? La cornamenta te hace daño cerebral.    ,neutral
Chema martinez    ,neutral
"Que tú pronóstico Jalisco no se te haga NACHITO
Y de los otros tampoco te deseo suerte    ",optimism
     ,neutral
Sabemos que el mayor conocimiento es para  chema    ,admiration
El Nacho Mierdas... Ese que nos ha podido decir de donde salió para los más de 200 espectaculares ooh vaya que ofertón    ,excitement
"Cálmate Carlos todavía no llega, todavía no ocupa el tal alto cargo, no comas ancias    ",neutral
Chema    ,neutral
Tu ves en todos    ,neutral
CLARA CARDENAS TIENE EL ADN OBRADORISTA   7,neutral
En Puebla debe ser Armenta    ,neutral
Y en tu casa compa quien te imaginas q sea el ganó x allá    ,optimism
Y yo veo a DR. GATELL  harfuch no va llegar  mucho menos CLARA BRUGADA  esta tienado mucho dinero en su campaña  en todoas las alcadia esta llenando de propaganda    ,neutral
Olovooooorgo! Que paso ahí los sitios de tus compás frecuentados por mañosos.  ,curiosity
Julio es desconocido pero no queremos a los oportunistas de los Primos Mier. Sus equipos están plagados de antiobradoristas.    ,neutral
La ruta es Clara   2,neutral
Ni quién conozca a Lomelí. Está ocupado haciendo negocios farmacéuticos.    ,neutral
La ruta es clara   5,neutral
41,neutral
Luego el INE va a salir conque debe haber un compañere    ,neutral
PURA MIERDA ENGAÑA CHINCHES...    ,disgust
Claro que con Chema Martínez Gobernador    ,neutral
Gobernador    ,neutral
74 Empower the next generation. https://,neutral
Mier…da pena    ,remorse
A Julio no lo quieren los poblanos 1 porque el primo del oportunista y qué le quería poner el pie a AMLO desde el senado y del PRD. Y solo está usando recursos públicos para su campaña que él sabe que no va a ganar    ,neutral
     ,neutral
Que culpa tiene Veracruz.... mas de lo mismo...   1,annoyance
Julio es desconocido y solo es primo de barboza. Cdmx deberia der Clara o Dr Hugo.   13,neutral
     ,neutral
